id,type,chapter,section,question,choices,answer,explanation,tags,source_file,images,reference
qa-001,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,肺の原基となる管状構造の名称は？,"{""a"": ""肺芽（lung bud）"", ""b"": ""喉頭気管溝"", ""c"": ""呼吸憩室"", ""d"": ""前腸""}","[""a""]","肺の原基は前腸腹側に出現する肺芽(lung bud)である。

【AI解説】
【結論】肺の原基は前腸腹側に出現する肺芽（lung bud）。

【AI解説（Claude 再確認）】
肺の原基は、前腸腹側の喉頭気管溝が突出した喉頭気管憩室（呼吸憩室）を経て、その先端が膨大した肺芽（lung bud）である。肺芽が分岐を繰り返して気管・気管支・肺胞を形成する。設問の『原基となる管状構造』の名称としては肺芽（a）が正解。","[""総論I"", ""発生"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 2, ""image"": ""assets/reference_pages/s1_p002.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=2"", ""highlights"": [{""x"": 0.5195, ""y"": 0.1393, ""w"": 0.378, ""h"": 0.0203}]}"
qa-002,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,呼吸器分化領域を運命決定する転写因子は？,"{""a"": ""Nkx2.1"", ""b"": ""SOX2"", ""c"": ""FOXA2"", ""d"": ""GATA6""}","[""a""]","呼吸器分化領域を運命決定する転写因子はNkx2.1(TTF-1)。

【AI解説】
【結論】呼吸器分化領域を運命決定する転写因子はNkx2.1（TTF-1）。
【選択肢の解説】
⭕「Nkx2.1」：正しい。TTF-1とも呼ばれ、前腸内胚葉のうち呼吸器へ分化する領域を運命決定する。
❌「SOX2」：誤り。近位気道の分化に関与する。
❌「FOXA2」：誤り。内胚葉全般の分化に関与する上流因子である。
❌「GATA6」：誤り。肺の発生に関わるが運命決定因子ではない。
【関連知識】TTF-1は病理の免疫染色でも用いられ、肺腺癌や甲状腺癌で陽性となる。CK7陽性・CK20陰性・TTF-1陽性は原発性肺腺癌を示唆する。","[""総論I"", ""発生"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 4, ""image"": ""assets/reference_pages/s1_p004.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=4""}"
qa-003,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,気管支樹の分岐・伸長を誘導する間葉由来の因子は？,"{""a"": ""FGF10"", ""b"": ""SHH（ソニックヘッジホッグ）"", ""c"": ""BMP4"", ""d"": ""Wnt7b""}","[""a""]","気管支樹の分岐・伸長を誘導する間葉由来因子はFGF10。

【AI解説】
【結論】気管支樹の分岐・伸長を誘導する間葉由来因子はFGF10。
【選択肢の解説】
⭕「FGF10」：正しい。間葉から分泌され、上皮のFGFR2を介して気管支樹の分岐・伸長を誘導する。
❌「SHH（ソニックヘッジホッグ）」：誤り。上皮から分泌され、間葉のFGF10発現を抑制して分岐を制御する。
❌「BMP4」：誤り。分岐形態形成の調節に関わるが主導因子ではない。
❌「Wnt7b」：誤り。
【関連知識】上皮と間葉の相互作用（epithelial-mesenchymal interaction）が肺の分岐形態形成の基本である。","[""総論I"", ""発生"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 2, ""image"": ""assets/reference_pages/s1_p002.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=2"", ""highlights"": [{""x"": 0.5035, ""y"": 0.2436, ""w"": 0.2113, ""h"": 0.0208}]}"
qa-004,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,終末細気管支までの気道分岐が完了する発生期は？,"{""a"": ""偽腺管期（6〜16週）"", ""b"": ""囊状期（28〜36週）"", ""c"": ""細管期（16〜28週）"", ""d"": ""肺胞期（36週〜小児期）""}","[""a""]","終末細気管支までの気道分岐は偽腺管期(6〜16週)に完了する。

【AI解説】
【結論】終末細気管支までの気道分岐は偽腺管期（6〜16週）に完了する。
【選択肢の解説】
⭕「偽腺管期（6〜16週）」：正しい。腺組織に似た構造をとり、終末細気管支までの伝導気道の分岐が完了する。この時期の早産児は呼吸できない。
❌「囊状期（28〜36週）」：誤り。終末嚢が形成されサーファクタントが増加する時期である。
❌「細管期（16〜28週）」：誤り。呼吸細気管支・肺胞管の形成と血管の発達が進む。
❌「肺胞期（36週〜小児期）」：誤り。二次隔壁の隆起により肺胞が形成される。
【関連知識】発生5期は胚芽期→偽腺管期→細管期→囊状期→肺胞期の順である。","[""総論I"", ""発生"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 7, ""image"": ""assets/reference_pages/s1_p007.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=7"", ""highlights"": [{""x"": 0.5391, ""y"": 0.8221, ""w"": 0.3926, ""h"": 0.0203}]}"
qa-005,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,サーファクタント産生が開始する発生期は？,"{""a"": ""細管期（16〜28週）"", ""b"": ""偽腺管期（6〜16週）"", ""c"": ""囊状期（28〜36週）"", ""d"": ""肺胞期（36週〜小児期）""}","[""a""]","サーファクタント産生が開始するのは細管期(16〜28週)。

【AI解説】
【結論】サーファクタント産生が開始するのは細管期（16〜28週）。
【選択肢の解説】
⭕「細管期（16〜28週）」：正しい。II型肺胞上皮細胞が分化し、在胎20〜24週頃からサーファクタント産生が始まる。
❌「偽腺管期（6〜16週）」：誤り。伝導気道の分岐が完了する時期である。
❌「囊状期（28〜36週）」：誤り。産生量が増加して成熟する時期である。
❌「肺胞期（36週〜小児期）」：誤り。
【関連知識】産生開始と十分量の蓄積は別で、成熟は在胎34〜36週頃である。それ以前の早産児は新生児呼吸窮迫症候群（RDS）をきたしやすい。","[""総論I"", ""発生"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 4, ""image"": ""assets/reference_pages/s1_p004.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=4"", ""highlights"": [{""x"": 0.5049, ""y"": 0.8745, ""w"": 0.3654, ""h"": 0.0193}]}"
qa-006,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,胎外生活が可能な構造・機能に達する発生期は？,"{""a"": ""囊状期（28〜36週）"", ""b"": ""偽腺管期（6〜16週）"", ""c"": ""細管期（16〜28週）"", ""d"": ""肺胞期（36週〜小児期）""}","[""a""]","胎外生活が可能な構造・機能に達するのは囊状期(28〜36週)。

【AI解説】
【結論】胎外生活が可能な構造・機能に達するのは囊状期（28〜36週）。
【選択肢の解説】
⭕「囊状期（28〜36週）」：正しい。終末嚢が形成されて毛細血管と接し、サーファクタントも増加するため胎外生活が可能となる。
❌「偽腺管期（6〜16週）」：誤り。ガス交換部が存在しない。
❌「細管期（16〜28週）」：誤り。22週以降は生存の可能性が生まれるが、機能的には不十分である。
❌「肺胞期（36週〜小児期）」：誤り。
【関連知識】","[""総論I"", ""発生"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 5, ""image"": ""assets/reference_pages/s1_p005.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=5"", ""highlights"": [{""x"": 0.1025, ""y"": 0.1393, ""w"": 0.3815, ""h"": 0.0193}]}"
qa-007,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,二次隔壁の隆起で肺胞が形成される発生期は？,"{""a"": ""肺胞期（36週〜小児期）"", ""b"": ""偽腺管期（6〜16週）"", ""c"": ""細管期（16〜28週）"", ""d"": ""囊状期（28〜36週）""}","[""a""]","二次隔壁の隆起で肺胞が形成されるのは肺胞期(36週〜小児期)。

【AI解説】
【結論】二次隔壁の隆起で肺胞が形成されるのは肺胞期（36週〜小児期）。
【選択肢の解説】
⭕「肺胞期（36週〜小児期）」：正しい。終末嚢の隔壁に二次中隔（二次隔壁）が隆起して真の肺胞が形成される。
❌「偽腺管期（6〜16週）」：誤り。
❌「細管期（16〜28週）」：誤り。
❌「囊状期（28〜36週）」：誤り。終末嚢の形成段階である。
【関連知識】肺胞数は出生後も増加し、8歳頃まで続く。成人の肺胞数は約3億個、表面積は約60 m²に達する。","[""総論I"", ""発生"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 5, ""image"": ""assets/reference_pages/s1_p005.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=5"", ""highlights"": [{""x"": 0.1025, ""y"": 0.2792, ""w"": 0.3961, ""h"": 0.0183}]}"
qa-008,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,胸膜が形成される胎齢は？,"{""a"": ""4〜7週頃"", ""b"": ""8〜12週頃"", ""c"": ""16〜20週頃"", ""d"": ""24〜28週頃""}","[""a""]","胸膜は胎齢4〜7週頃に形成される。

【AI解説】
【結論】胸膜は胎齢4〜7週頃に形成される。
【選択肢の解説】
⭕「4〜7週頃」：正しい。肺芽の成長と胚内体腔の分離（隔壁形成）に伴い中胚葉から形成される。
❌「8〜12週頃」：誤り。
❌「16〜20週頃」：誤り。
❌「24〜28週頃」：誤り。
【関連知識】胸膜の中皮細胞は中胚葉由来で、ヒアルロン酸を分泌して胸膜腔の潤滑を保つ。中皮腫の免疫染色ではcalretinin・WT-1・D2-40・CK5/6が陽性となる。","[""総論I"", ""発生"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 4, ""image"": ""assets/reference_pages/s1_p004.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=4"", ""highlights"": [{""x"": 0.0662, ""y"": 0.8211, ""w"": 0.1897, ""h"": 0.0203}]}"
qa-009,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,肺胞構造出現期に血管が移動する先は？,"{""a"": ""上皮直下"", ""b"": ""間質の中心"", ""c"": ""胸膜直下"", ""d"": ""気道周囲""}","[""a""]","肺胞構造出現期に血管は上皮直下へ移動する(ガス交換のため)。

【AI解説】
【結論】肺胞構造出現期に血管は上皮直下へ移動する（ガス交換のため）。
【選択肢の解説】
⭕「上皮直下」：正しい。ガス交換を可能にするため、毛細血管が肺胞上皮の直下へ移動して血液空気関門が薄くなる。
❌「間質の中心」：誤り。発生初期の位置である。
❌「胸膜直下」：誤り。
❌「気道周囲」：誤り。
【関連知識】血液空気関門はI型肺胞上皮細胞・基底膜・毛細血管内皮細胞からなり、厚さは0.2〜0.6μmである。","[""総論I"", ""発生"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 5, ""image"": ""assets/reference_pages/s1_p005.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=5"", ""highlights"": [{""x"": 0.1025, ""y"": 0.0865, ""w"": 0.3954, ""h"": 0.0193}]}"
qa-010,mcq,総論I 形態・機能・病態生理,総論I 形態・機能・病態生理,気管が左右主気管支に分岐する高さは？,"{""a"": ""第4〜5胸椎"", ""b"": ""第2〜3胸椎"", ""c"": ""第6〜7胸椎"", ""d"": ""第1胸椎""}","[""a""]","気管は第4〜5胸椎の高さで左右主気管支に分岐する。

【AI解説】
【結論】気管は第4〜5胸椎の高さで左右主気管支に分岐する。
【選択肢の解説】
⭕「第4〜5胸椎」：正しい。胸骨角（Louis角）の高さにほぼ一致する。
❌「第2〜3胸椎」：誤り。高すぎる。
❌「第6〜7胸椎」：誤り。低すぎる。
❌「第1胸椎」：誤り。気管の始まりに近い。
【関連知識】右主気管支は左より太く短く垂直に近いため、誤嚥や気道異物は右に落ちやすい。","[""総論I"", ""構造"", ""一問一答"", ""語句MCQ化""]",,[],"{""title"": ""総論 I 形態・機能・病態生理"", ""page"": 6, ""image"": ""assets/reference_pages/s1_p006.webp"", ""viewer"": ""reference-viewer.html?doc=s1&page=6"", ""highlights"": [{""x"": 0.083, ""y"": 0.6117, ""w"": 0.378, ""h"": 0.0203}]}"
